Date,Alabama,Alaska,American Samoa,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Diamond Princess,District of Columbia,Florida,Georgia,Grand Princess,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Northern Mariana Islands,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virgin Islands,Virginia,Washington,West Virginia,Wisconsin,Wyoming,(blank),Grand Total
2020-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
2020-02-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
2020-02-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
2020-02-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
2020-02-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
2020-02-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
2020-02-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
2020-02-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
2020-02-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
2020-02-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
2020-02-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
2020-02-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
2020-02-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
2020-02-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
2020-02-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
2020-02-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
2020-02-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
2020-02-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
2020-02-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
2020-02-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
2020-02-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
2020-02-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
2020-02-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
2020-02-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
2020-02-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
2020-02-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
2020-02-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
2020-02-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
2020-02-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,1
2020-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,1
2020-03-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,,6
2020-03-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,,7
2020-03-04,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,,11
2020-03-05,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,,12
2020-03-06,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,,14
2020-03-07,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,,17
2020-03-08,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,,21
2020-03-09,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,,22
2020-03-10,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,,28
2020-03-11,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,24,0,0,0,,32
2020-03-12,0,0,0,0,0,4,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,31,0,0,0,,41
2020-03-13,0,0,0,0,0,4,1,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,37,0,0,0,,50
2020-03-14,0,0,0,0,0,3,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,39,0,0,0,,56
2020-03-15,0,0,0,0,0,5,1,0,0,0,0,3,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,12,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,40,0,0,0,,70
2020-03-16,0,0,0,0,0,7,1,0,0,0,0,3,1,0,0,0,0,0,1,0,1,1,3,0,0,0,0,0,0,0,0,0,1,0,2,0,24,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,2,48,0,0,0,,98
2020-03-17,0,0,0,0,0,12,2,0,0,0,0,5,1,0,0,0,0,1,2,0,1,1,4,0,0,0,0,0,0,0,0,0,1,0,3,0,38,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,2,55,0,0,0,,132
2020-03-18,0,0,0,0,0,16,2,1,0,0,0,7,3,0,0,0,0,1,2,0,1,1,6,0,0,0,1,0,0,1,0,0,1,0,5,0,63,0,0,0,0,0,3,1,0,0,1,1,0,3,0,0,0,2,67,0,0,0,,189
2020-03-19,0,0,0,0,0,18,4,3,0,0,0,9,10,1,0,0,0,4,2,0,1,2,10,0,1,0,1,0,1,1,0,0,1,0,9,0,96,0,0,0,0,1,3,1,0,0,1,1,0,5,0,2,0,2,73,0,4,0,,267
2020-03-20,0,0,0,0,0,24,4,4,0,0,1,11,14,1,0,0,0,5,3,0,1,2,14,0,2,1,1,0,1,3,0,0,2,0,11,0,151,0,0,0,3,1,3,1,0,0,3,1,1,4,0,2,0,2,83,0,3,0,,363
2020-03-21,0,0,0,1,0,25,6,4,0,0,0,13,20,1,0,0,0,6,4,0,2,3,20,0,2,1,3,1,1,3,0,0,2,0,16,0,195,0,0,0,3,1,4,2,1,0,3,1,1,5,0,2,0,3,94,0,4,0,,453
2020-03-22,0,0,0,2,0,30,6,8,0,0,2,13,25,1,1,0,0,9,6,0,2,3,20,0,3,5,9,1,1,3,0,0,2,0,20,0,286,0,0,0,3,2,5,4,1,0,3,1,2,7,1,2,0,6,97,0,4,0,,596
2020-03-23,0,0,0,2,0,39,7,10,0,0,2,18,25,1,1,0,0,12,7,0,2,4,35,0,3,9,15,1,1,4,0,0,4,1,27,0,387,0,0,0,6,2,5,6,2,0,5,1,2,9,1,5,0,6,109,0,5,0,,781
2020-03-24,0,0,0,5,2,50,8,12,0,0,2,18,32,1,1,1,0,16,12,0,2,4,46,0,4,11,24,1,1,7,0,0,4,1,44,0,512,0,0,0,8,3,8,8,2,0,5,1,2,12,1,7,0,9,116,0,5,0,,1008
2020-03-25,1,1,0,6,2,65,16,19,0,0,2,23,40,1,1,0,0,19,14,1,3,5,65,0,4,15,43,1,3,8,0,0,6,1,62,1,659,2,0,0,11,5,10,15,2,0,7,1,3,15,1,8,0,9,133,0,7,0,,1316
2020-03-26,1,1,0,8,2,81,19,21,1,0,3,29,48,1,1,0,3,26,17,1,3,5,83,0,4,25,61,2,6,9,0,0,10,1,81,1,902,3,0,0,15,7,11,18,2,0,9,1,3,21,1,9,0,10,150,0,10,0,,1726
2020-03-27,4,1,0,13,3,94,27,27,2,0,3,35,64,3,1,0,3,34,25,3,4,7,119,1,5,35,92,4,8,9,1,0,10,1,108,1,1211,4,1,0,19,8,12,22,3,0,13,1,6,26,1,10,0,10,157,0,14,0,,2265
2020-03-28,4,2,0,15,5,110,31,33,5,0,4,54,69,3,1,0,4,47,31,3,4,9,137,1,5,44,111,5,13,10,1,2,10,2,140,1,1588,5,1,0,25,15,13,34,3,2,15,1,7,30,1,12,0,13,188,0,17,0,,2886
2020-03-29,10,2,0,17,6,124,47,34,6,0,5,56,80,3,1,0,5,66,32,4,7,9,151,3,10,48,132,9,14,13,1,2,15,2,161,2,2016,7,1,0,29,16,13,41,3,3,16,1,8,37,2,12,0,20,198,0,18,0,,3518
2020-03-30,10,3,0,20,7,146,47,36,6,0,9,63,87,3,1,0,6,73,35,6,8,11,185,3,15,56,184,10,16,13,5,2,15,3,198,2,2556,7,2,0,40,16,16,50,6,4,18,1,14,45,4,12,0,15,205,1,20,0,,4316
2020-03-31,23,3,0,25,8,173,69,69,10,0,9,85,111,3,2,0,8,99,49,7,9,11,239,5,18,89,259,12,20,15,5,3,26,3,267,4,3207,12,3,0,55,23,18,63,8,8,22,1,23,54,5,13,0,27,225,1,25,0,,5531
2020-04-01,27,3,0,32,10,199,69,85,11,0,9,87,139,3,3,1,9,141,65,9,10,18,273,5,31,122,335,17,22,18,6,4,31,3,355,5,3917,14,3,1,65,30,19,74,11,10,26,2,24,66,5,16,0,34,234,1,27,0,,6736
2020-04-02,32,3,0,35,12,238,80,112,12,0,12,164,163,3,3,1,9,163,78,11,12,31,310,7,36,154,417,18,26,22,6,5,38,3,537,6,4730,21,3,1,81,34,21,90,12,12,31,2,36,77,7,17,0,41,271,2,38,0,,8286
2020-04-03,38,3,0,44,12,265,97,131,14,0,15,170,184,3,4,3,9,210,102,11,18,34,370,9,43,192,479,22,29,25,5,6,43,5,646,10,5418,27,3,1,91,38,22,102,15,14,34,2,41,100,7,17,0,46,291,2,51,0,,9573
2020-04-04,44,5,0,52,14,289,111,165,14,0,21,195,201,3,4,3,10,244,116,14,21,40,409,10,54,216,540,24,35,33,6,6,46,7,846,11,5991,34,3,1,102,42,22,136,18,17,40,2,50,116,8,20,0,52,315,2,54,0,,10834
2020-04-05,45,6,0,64,16,348,140,189,14,0,22,221,211,3,4,4,10,274,127,18,22,45,477,10,67,231,617,29,43,44,6,8,46,9,917,12,6785,38,3,1,119,46,27,151,20,25,44,2,53,136,8,22,1,52,336,3,74,0,,12245
2020-04-06,49,6,0,65,16,380,150,206,15,0,24,236,229,3,4,5,10,307,143,25,25,45,512,10,91,260,727,30,51,47,6,9,46,9,1003,12,7809,45,3,1,142,51,27,179,21,27,48,4,65,150,13,23,1,66,381,4,78,0,,13894
2020-04-07,64,6,0,73,18,432,179,277,16,0,22,283,329,3,4,5,13,380,173,25,29,65,582,12,103,356,845,34,60,65,6,10,72,9,1232,13,8886,53,4,2,167,67,29,247,23,30,51,6,72,160,13,23,1,66,400,4,92,0,,16191
2020-04-08,66,7,0,89,18,495,193,326,19,0,27,309,362,3,4,5,15,462,203,27,34,65,652,14,124,433,959,39,67,86,6,12,72,13,1504,13,9834,66,4,2,193,79,33,318,24,35,51,6,80,189,13,23,1,66,426,4,100,0,,18270
2020-04-09,70,7,0,98,21,544,193,380,23,0,32,354,379,3,4,6,18,528,245,29,42,73,702,16,138,503,1076,50,76,93,6,14,81,21,1709,16,10778,76,5,2,213,80,44,345,33,43,67,6,94,210,13,23,1,109,456,5,111,0,,20264
2020-04-10,80,7,0,106,21,583,226,448,32,0,38,390,416,3,4,6,24,597,300,31,42,90,755,17,171,599,1276,57,82,99,6,15,90,21,1932,17,11605,83,6,2,231,88,44,418,39,43,72,6,98,238,17,24,1,121,483,5,128,0,,22333
2020-04-11,92,8,0,117,25,604,250,494,33,0,47,438,429,3,5,8,25,677,330,34,55,90,806,19,206,686,1384,64,93,116,6,17,102,22,2183,19,12498,89,7,2,247,94,48,503,42,56,80,6,106,266,18,25,1,130,495,5,137,0,,24342
2020-04-12,93,8,0,125,27,640,289,554,35,0,50,461,433,0,5,9,27,720,343,41,56,97,840,19,236,756,1479,70,96,118,6,17,112,23,2350,26,13442,89,7,2,253,96,52,557,44,63,82,6,106,283,18,27,1,141,506,6,144,0,,26086
2020-04-13,99,8,0,132,29,714,306,602,41,0,52,499,465,0,5,9,27,798,350,41,62,113,884,19,262,844,1602,70,98,123,7,17,114,23,2443,26,14390,94,8,2,274,99,53,589,45,63,82,6,109,305,13,28,1,149,513,8,154,1,,27870
2020-04-14,114,9,0,143,32,767,327,671,43,0,67,571,525,0,5,9,33,868,387,49,69,106,1013,20,302,844,1768,79,111,149,7,20,126,25,2805,31,15261,112,8,2,324,108,55,691,45,80,97,6,124,342,18,29,1,154,530,9,170,1,,30262
2020-04-15,118,9,0,155,33,860,328,868,46,0,72,596,552,0,5,9,39,949,436,53,71,115,1103,24,311,1108,1921,87,122,153,7,20,131,32,3156,36,16013,130,9,2,362,123,58,779,51,80,106,6,124,375,20,29,1,195,552,10,183,1,,32734
2020-04-16,133,9,0,164,37,956,355,971,55,0,81,668,587,0,5,9,41,1072,477,60,80,129,1156,27,319,1108,1996,87,129,169,7,21,137,32,3518,36,16729,150,9,2,407,131,64,841,56,87,111,7,136,414,20,33,1,208,579,12,197,2,,34827
2020-04-17,148,9,0,183,37,1037,372,1036,61,0,86,725,650,0,5,9,41,1132,522,64,82,137,1213,29,334,1245,2227,111,140,184,8,24,142,37,3840,44,17755,177,9,2,418,136,70,921,58,118,116,7,141,451,23,35,2,231,603,16,206,2,,37411
2020-04-18,153,9,0,180,38,1140,389,1086,67,0,91,748,673,0,5,9,43,1259,545,74,85,144,1267,32,421,1404,2308,121,152,197,10,24,151,38,4070,53,18760,187,9,2,451,136,72,1042,60,137,119,7,142,476,25,38,3,258,613,16,212,2,,39753
2020-04-19,157,9,0,184,39,1177,420,1127,67,0,96,774,687,0,5,10,44,1290,562,75,93,146,1296,34,461,1706,2391,134,159,199,10,28,158,38,4362,55,18582,200,9,2,471,140,74,1276,62,150,120,7,148,490,27,38,3,277,636,18,220,2,,40945
2020-04-20,163,9,0,191,41,1225,420,1331,72,0,105,822,775,0,5,10,45,1349,577,79,102,154,1328,35,582,1706,2468,143,169,200,10,33,159,42,4496,58,19176,218,9,2,509,143,75,1348,63,155,123,7,152,507,28,38,3,300,643,24,230,2,,42659
2020-04-21,183,9,0,208,42,1282,483,1423,82,0,112,867,798,0,5,10,48,1468,635,83,109,171,1405,36,652,1961,2575,160,183,224,12,33,163,42,4753,58,19746,245,13,2,557,164,78,1614,64,171,124,8,157,533,32,40,3,324,664,26,244,2,,45086
2020-04-22,196,9,0,231,42,1421,506,1544,89,0,127,893,848,0,5,12,51,1565,666,90,112,185,1473,39,698,2182,2813,179,193,238,14,38,172,48,5150,71,20203,265,14,2,610,170,78,1673,63,181,140,9,157,556,32,40,3,349,686,27,248,6,,47412
2020-04-23,202,9,0,249,45,1533,552,1639,92,0,139,987,881,3,5,12,54,1688,706,96,113,191,1599,44,748,2360,2977,200,201,252,14,47,195,51,5426,78,20743,281,15,2,656,179,83,1724,69,189,150,9,171,604,35,43,3,373,711,31,258,7,,49724
2020-04-24,209,9,0,266,47,1621,674,1767,100,0,153,1046,899,3,5,13,54,1795,741,107,118,200,1660,47,798,2556,3085,221,209,272,14,50,197,53,5683,84,20955,294,15,2,690,188,86,1747,77,202,157,10,169,624,39,44,3,411,722,32,263,7,,51493
2020-04-25,209,9,0,273,48,1689,684,1865,112,0,165,1055,907,3,5,13,56,1875,786,112,120,205,1707,47,875,2730,3155,244,221,281,14,50,205,53,5914,93,22009,305,16,2,711,194,87,1793,83,215,166,10,177,638,41,46,3,437,737,32,266,7,,53755
(blank),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grand Total,2837,198,0,3573,755,21481,8091,19578,1195,0,1707,14018,13356,65,124,191,784,22229,9857,1283,1636,2767,24932,594,8139,26601,42356,2337,2853,3506,218,537,2939,674,71991,895,355927,3333,202,44,8561,2756,1448,19424,1131,2220,2360,170,2804,8580,511,837,38,4730,15077,306,4021,42,,748819
